"newspaper","location","circulation","e2016","e2012","link","lat","lng","blurb"
"The News-Times","Danbury, CT",27407,"C","Barack Obama","http://www.newstimes.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php",41.394817,-73.4540111,"Electing our first woman president is a pivotal next step in America’s evolution as a country with ideals that have still not been fully realized after 240 years."
"Marin Independent Journal","San Rafael, CA",27203,"C","Barack Obama","http://www.marinij.com/article/NO/20161008/LOCAL1/161009828",37.9735346,-122.5310874,"We did not endorse Trump in the June primary because we did not think he had the temperament to lead our nation or be the leader of the free world. He hasn’t changed our minds."
"Carroll County Times","Westminster, MD",27171,"NO","","http://www.carrollcountytimes.com/opinion/editorials/ph-cc-editorial-102316-20161023-story.html",39.5753791,-76.9958149,"Both Trump and Clinton are rife with flaws, and it may not be hyperbole to call these two the most disliked, untrustworthy candidates to ever run for president."
"Poughkeepsie Journal","Poughkeepsie, NY",26984,"C","Barack Obama","http://www.poughkeepsiejournal.com/story/opinion/editorials/2016/10/21/countrys-sake-clinton-default/92483662/",41.7003713,-73.9209701,"The stench and shallowness of the Trump campaign should greatly alarm the American people. Trump has to be defeated, and Clinton is the only legitimate option to do it."
"The Southern Illinoisan","Carbondale, IL",26958,"C","Mitt Romney","http://thesouthern.com/news/opinion/voice-of-the-southern/voice-of-the-southern-clinton-best-choice-for-president/article_7456bbd0-0778-537b-8501-4e1ebc7376f4.html",37.7272727,-89.2167501,"We understand that Southern Illinois is losing jobs and resources. We understand it is easy to feel left behind by a political system in which it seems like no one fights for our interests. The idea to vote for change and to vote for a political outsider like Trump is tempting.\nWe do get it, but Trump isn&rsquo;t that person."
"Grand Junction Daily Sentinel","Grand Junction, CO",26895,"NT","Mitt Romney","http://www.gjsentinel.com/opinion/articles/step-aside-donald",39.0638705,-108.5506486,"The evidence that Trump is unqualified or unfit for the presidency has been there all along. This is just the exclamation point that could convince moderate Republicans to break with their own tradition of voting for the GOP."
"Daily Herald","Provo, UT",26881,"M","","http://www.heraldextra.com/news/opinion/herald-editorials/herald-editorial-a-vote-for-mcmullin-is-a-vote-for/article_d5f3ca37-01ec-510c-9b02-7b71593fd0ce.html",40.2338438,-111.6585337,"We had the opportunity to meet with McMullin and his running mate, Mindy Finn, and came away impressed with their desire to be the face of a new conservative movement in this country. We believe their platform aligns with Utah values — including equality for all, reining in government spending, particularly entitlements, reforming the corporate tax rate, cutting excessive regulation and establishing responsible global leadership."
"Kalamazoo Gazette","Kalamazoo, MI",26761,"C","Barack Obama","http://www.mlive.com/opinion/index.ssf/2016/10/hillary_clinton_is_best_for_mi.html",42.2917069,-85.5872286,"[I]t&rsquo;s abundantly clear Trump is not the agent of positive change our nation seeks. He is woefully unqualified and has divided our nation with his ugly rhetoric, egging people on to take sides and distrust the very system itself. He wants to build walls, not bridges. As president, he would only try to widen that gulf."
"Bristol Herald Courier","Bristol, VA",26166,"NO","","http://www.heraldcourier.com/townnews/politics/bristol-herald-courier-can-t-stomach-trump-or-clinton-for/article_6ddf259c-8f01-11e6-91c2-cf0174fa32da.html",36.595141,-82.1888089,"Is this what our democracy has come to? The choice between an ineffective presidency or a destructive one? Ultimately, the result is the same — a diminished, weaker United States."
"The Daily Item","Sunbury, PA",26165,"C","Barack Obama","http://www.dailyitem.com/opinion/sunday-s-editorial-clinton-the-only-viable-choice/article_19024e88-8edd-11e6-868f-6ffea5c908f5.html",40.862585,-76.7944104,"Trump’s myriad issues aside, Hillary Clinton’s record of public service and knowledge of the colossal issues the nation will confront in the next four years make her the obvious choice on Nov. 8."
