id,newspaper,city,state,e2016,e2012,circulation,date,link,lat,lng,geocoded.city,combo,blurb
261,New Braunfels Herald-Zeitung,New Braunfels,Texas,10295,10/28/2016,Hillary Clinton,,http://herald-zeitung.com/opinion/article_7544a546-9cad-11e6-b2f5-0f8d17fa4674.html,29.7030024,-98.1244531,New Braunfels,New Braunfels Herald-Zeitung/New Braunfels,
262,Philadelphia Daily News,Philadelphia,Pennsylvania,99103,10/28/2016,Hillary Clinton,Barack Obama,http://www.philly.com/philly/opinion/20161028_We_endorse_Hillary_for_president.html,39.951668,-75.154126,,Philadelphia Daily News/Philadelphia,
263,The Recorder,Greenfield,Massachusetts,11522,10/28/2016,Hillary Clinton,Barack Obama,The Recorder/Greenfield,42.587915,-72.5994104,,The Recorder/Greenfield,"Sanders’ brand of populist reform caught fire among many voters, and we are happy to see that Clinton has shown a willingness to respond to those voters by supporting a $15-an-hour minimum wage, seeking increased access to Medicare and opposing the Trans-Pacific Partnership trade agreement."
264,Daily Hampshire Gazette,Northampton,Massachusetts,14975,10/28/2016,Hillary Clinton,Barack Obama,Daily Hampshire Gazette/Northampton,42.3250896,-72.6412013,,Daily Hampshire Gazette/Northampton,"By contrast, Clinton’s Republican opponent, Donald Trump, 70, unleashed a misogynistic, racist and xenophobic campaign the likes of which have not been seen in modern American presidential elections. Trump’s narcissistic bullying; denigration of women, ethnic and racial minorities and disabled people; unwillingness to accept the result of what he claims is a “rigged” election; and suggestion that he would throw his opponent in jail if he is elected, are character flaws that make him unfit to serve and a danger to the democracy."
265,The News-Sentinel,Fort Wayne,Indiana,80879,10/28/2016,Donald Trump,Mitt Romney,http://www.news-sentinel.com/opinion/Let-s-keep-Hillary-Clinton-out-of-the-White-House,41.079273,-85.1393513,Fort Wayne,The News-Sentinel/Fort Wayne,
266,The Patriot Ledger,Quincy,Massachusetts,42533,10/29/2016,Hillary Clinton,,http://www.patriotledger.com/opinion/20161029/our-opinion-hillary-clinton-for-president,42.2528772,-71.0022705,Quincy,The Patriot Ledger/Quincy,
267,Albany Times Union,Albany,New York,56493,10/29/2016,Hillary Clinton,Barack Obama,http://www.timesunion.com/tuplus-opinion/article/Editorial-President-Hillary-Clinton-10422449.php,42.647697,-73.754579,Albany,Albany Times Union/Albany,
268,The State,Columbia,South Carolina,104218,10/29/2016,Hillary Clinton,No endorsement,http://www.thestate.com/opinion/editorials/article111181492.html,34.0007104,-81.0348144,Columbia,The State/Columbia,
269,Farmington Daily Times,Farmington,New Mexico,11103,10/29/2016,Hillary Clinton,,http://www.daily-times.com/story/opinion/editorials/2016/10/29/editorial-daily-times-endorses-hillary-clinton/92951150/,36.728776,-108.206883,,Farmington Daily Times/Farmington,
270,Detroit Free Press,Detroit,Michigan,355000,10/30/2016,Hillary Clinton,Barack Obama,http://www.freep.com/story/opinion/editorials/2016/10/30/free-press-endorsement-hillary-clinton-accomplished-mature-choice/92890252/,42.3300569,-83.0510303,Detroit,Detroit Free Press/Detroit,
271,The MetroWest Daily News,Framingham,Massachusetts,17542,10/30/2016,Hillary Clinton,Barack Obama,http://www.metrowestdailynews.com/opinion/20161030/editorial-hillary-clinton-for-president,42.279286,-71.4161565,Framingham,The MetroWest Daily News/Framingham,
272,The Milford Daily News,Milford,Massachusetts,5340,10/30/2016,Hillary Clinton,Barack Obama,http://www.milforddailynews.com/opinion/20161030/editorial-hillary-clinton-for-president,42.1398577,-71.5163049,Milford,The Milford Daily News/Milford,
273,The Free Lance-Star,Fredericksburg,Virginia,39598,10/30/2016,No endorsement,Barack Obama,http://www.fredericksburg.com/opinion/editorials/editorial-for-president/article_577e23c9-ed35-5479-b1c4-063a616274ac.html,38.3031837,-77.4605399,Fredericksburg,The Free Lance-Star/Fredericksburg,
274,The Dispatch / The Rock Island Argus,Moline,Illinois,45104,10/30/2016,No endorsement,Mitt Romney,http://www.qconline.com/editorials/editorial-for-u-s-president/article_407bd749-81cf-5ba5-ac2f-7dbaf2514ecf.html,41.5067003,-90.5151342,Moline,The Dispatch / The Rock Island Argus/Moline,
275,Erie Times-News,Erie,Pennsylvania,52201,10/30/2016,Hillary Clinton,Barack Obama,http://www.goerie.com/opinion/20161030/our-view-clinton-should-be-nations-next-president,42.1292241,-80.085059,Erie,Erie Times-News/Erie,
276,Taunton Daily Gazette,Taunton,Massachusetts,6576,10/30/2016,Hillary Clinton,,http://www.tauntongazette.com/opinion/20161030/our-opinion-hillary-clinton-for-president,41.900101,-71.0897674,Taunton,Taunton Daily Gazette/Taunton,
277,The Enterprise,Brockton,Massachusetts,23197,10/30/2016,Hillary Clinton,,http://www.enterprisenews.com/opinion/20161030/our-opinion-hillary-clinton-for-president,42.1031071,-71.021446,Brockton,The Enterprise/Brockton,
278,Bucks County Courier Times,Levittown,Pennsylviania,41173,10/30/2016,No endorsement,Mitt Romney,http://www.buckscountycouriertimes.com/opinion/guest/our-effort-to-help-voters-sift-through-the-noise/article_1a89829b-78de-568d-8f6a-79ab6d4de917.html,40.143943,-74.81367,,Bucks County Courier Times/Levittown,
279,Stamford Advocate,Stamford,Connecticut,19144,10/30/2016,Hillary Clinton,Barack Obama,http://www.stamfordadvocate.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php,41.0534302,-73.5387341,Stamford,Stamford Advocate/Stamford,
280,Greenwich Time,Old Greenwich,Connecticut,10799,10/30/2016,Hillary Clinton,Barack Obama,http://www.greenwichtime.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php,41.0232624,-73.5652049,Greenwich,Greenwich Time/Old Greenwich,
281,The News-Times,Danbury,Connecticut,27407,10/30/2016,Hillary Clinton,Barack Obama,http://www.newstimes.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php,41.394817,-73.4540111,Danbury,The News-Times/Danbury,
282,The Hour,Norwalk,Connecticut,23788,10/30/2016,Hillary Clinton,,http://www.thehour.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php,41.13834,-73.425902,Norwalk,The Hour/Norwalk,
283,Connecticut Post,Bridgeport,Connecticut,68497,10/30/2016,Hillary Clinton,,http://www.ctpost.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php,41.2359305,-73.0356611,Milford,Connecticut Post/Bridgeport,
284,The Daily Gazette,Schenectady,New York,57323,10/30/2016,Hillary Clinton,,http://www.dailygazette.com/news/2016/oct/30/clinton-clear-choice/,42.8142432,-73.9395687,Schenectady,The Daily Gazette/Schenectady,
285,The Herald News,Fall River,Massachusetts,13638,10/30/2016,Hillary Clinton,,http://www.heraldnews.com/opinion/20161030/our-view-hillary-clinton-for-president,41.7014912,-71.1550451,Fall River,The Herald News/Fall River,
286,Tri-City Herald,Kennewick,Washington,35487,10/30/2016,Hillary Clinton,Mitt Romney,http://www.tri-cityherald.com/opinion/editorials/article111265377.html,46.2112458,-119.1372338,Kennewick,Tri-City Herald/Kennewick,
287,Daily Reflector,Greenville,North Carolina,23051,10/30/2016,Donald Trump,Mitt Romney,http://www.reflector.com/Editorials/2016/10/30/America-needs-strong-leadership-from-next-president.html,35.612661,-77.3663538,Greenville,Daily Reflector/Greenville,
288,Sioux City Journal,Sioux City,Iowa,29861,10/30/2016,No endorsement,Mitt Romney,http://siouxcityjournal.com/news/opinion/editorial/our-opinion-neither-clinton-nor-trump-earns-endorsement/article_4087b224-6926-5ad6-989f-bf0409af4e9c.html,42.4999942,-96.4003069,Sioux City,Sioux City Journal/Sioux City,
289,Albuquerque Journal,Albuquerque,New Mexico,104296,10/30/2016,No endorsement,Mitt Romney,https://www.abqjournal.com/878277/editorial-no-good-choice-for-president-2.html,35.1703137,-106.5871861,Albuquerque,Albuquerque Journal/Albuquerque,
290,The Lima News,Lima,Ohio,29819,10/30/2016,No endorsement,Mitt Romney,http://limaohio.com/news/211410/editorial-trump-or-clinton-why-or-why-not,40.742551,-84.1052256,Lima,The Lima News/Lima,
291,The Republican,Springfield,Massachusetts,96206,10/30/2016,Hillary Clinton,Barack Obama,http://www.masslive.com/opinion/index.ssf/2016/10/the_republican_endorses_hillar.html,42.105703,-72.598063,,The Republican/Springfield,
292,Daily Herald,Provo,Utah,26881,10/30/2016,Evan McMullin,,Daily Herald/Provo,40.2338438,-111.6585337,Provo,Daily Herald/Provo,"We had the opportunity to meet with McMullin and his running mate, Mindy Finn, and came away impressed with their desire to be the face of a new conservative movement in this country. We believe their platform aligns with Utah values — including equality for all, reining in government spending, particularly entitlements, reforming the corporate tax rate, cutting excessive regulation and establishing responsible global leadership."
293,The Gadsden Times,Gadsden,Alabama,15347,10/30/2016,No endorsement,No endorsement,http://www.gadsdentimes.com/news/20161030/our-view-study-issues-and-vote-accordingly,34.014264,-86.0066386,Gadsden,The Gadsden Times/Gadsden,
294,The Beaver County Times,Beaver,Pennsylvania,27512,10/30/2016,Hillary Clinton,,http://www.timesonline.com/opinion/editorials/a-vote-for-experience-and-diplomacy/article_ca3e5f9a-9d18-11e6-9b78-fb09f7f9c972.html,40.6953437,-80.3047846,Beaver,The Beaver County Times/Beaver,
295,Baytown Sun,Baytown,Texas,10236,10/30/2016,No endorsement,,http://baytownsun.com/opinion/editorials/article_8493b0c0-9e95-11e6-8a46-23a097e54158.html,29.7589743,-94.9541581,Baytown,Baytown Sun/Baytown,
296,The Athens Messenger,Athens,Ohio,12000,10/31/2016,Hillary Clinton,,http://www.athensmessenger.com/comment/editorials/endorsements/article_2121c2b7-399c-5843-bc5e-8e0a0f0db9fa.html,39.3292396,-82.1012554,Athens,The Athens Messenger/Athens,
297,Aiken Standard,Aiken,South Carolina,12832,10/31/2016,No endorsement,No endorsement,http://www.aikenstandard.com/opinion/why-the-aiken-standard-doesn-t-endorse-candidates/article_bc6e8906-9f9f-11e6-8001-3399a6bf3857.html,33.5604168,-81.7195533,Aiken,Aiken Standard/Aiken,
298,Ashland Daily Tidings,Ashland,Oregon,3800,10/31/2016,Hillary Clinton,,http://www.dailytidings.com/news/20161031/our-view-two-scary-words,42.1945758,-122.7094767,Ashland,Ashland Daily Tidings/Ashland,
299,The Vindicator,Youngstown,Ohio,39776,11/1/2016,Hillary Clinton,Barack Obama,http://www.vindy.com/news/2016/nov/01/for-president-clinton--with-much-apprehe/,41.1011155,-80.6543904,Youngstown,The Vindicator/Youngstown,
300,The Anniston Star,Anniston,Alabama,20249,11/1/2016,Hillary Clinton,Barack Obama,http://www.annistonstar.com/opinion/editorials/the-u-s-needs-a-competent-leader-in-the-white/article_a1b84eca-9fbe-11e6-bafd-3b8dd7de4635.html,33.6598257,-85.8316318,Anniston,The Anniston Star/Anniston,
301,Mail Tribune,Medford,Oregon,20505,11/1/2016,Hillary Clinton,Barack Obama,http://www.mailtribune.com/opinion/20161101/our-view-trump-must-not-be-president,42.3265152,-122.8755949,Medford,Mail Tribune/Medford,
